Order;Tendency;Definition;Scale bands (0–100 meaning);Typical NBA range;Hard cap;Notes / locked rules
1;Shot;How often player looks to finish possessions with a shot (usage tendency).;"0 never; 10 emergency; 20 reluctant; 30 occasional; 40 rotation scorer; 50 featured; 60 primary; 70 heliocentric";35–50 (most rotation);75;High Shot must be balanced with Touch + Play Discipline to avoid chucking.
2;Touch;How often offense flows through player (touches/initiations/handoffs/resets).;"0 ignored; 10 emergency; 20 low-touch; 30 connector; 40 rotation hub; 50 secondary hub; 60 primary hub; 65 cap";"30–45 (most); 55–65 (primary handlers)";65;"Touch ? initiator skill; it’s involvement/priority."
3;Shot Close;"Frequency of shots from ~3–10 feet (push shots, short hooks, short fades).";"0 never; 10 emergency; 20 rare; 30 occasional; 40 normal; 50 featured; 60 extreme";"Guards 20–35; Bigs 35–55";60;Too high can create awkward short-shot spam and lower paint FG%.
4;Shot Under;"Frequency of point-blank/rim finishes (layups, dunks, drop-offs).";"0 never; 10 emergency; 20 rare; 30 occasional; 40 normal; 50 rim-focused; 60 extreme";Slashers/rim bigs 40–55;60;"Primary driver of points in the paint; rim scorers typically Under > Close."
5;Shot Mid;Overall willingness to take mid-range jumpers (any context).;"0 never; 10 emergency; 20 very rare; 30 occasional; 40 normal; 50 featured weapon";25–40;55;Master gate for mid-range behavior.
6;Spot-Up Shot Mid;Catch-and-shoot mid-range willingness (no dribble).;"0 never; 10 avoids; 20 reluctant; 30 willing; 40 comfortable";20–35;45;Rule: Spot-Up Mid = Shot Mid.
7;Off-Screen Mid;Willingness to shoot mid-range immediately after coming off a screen.;"0 never; 10 curl/pass; 20 read first; 30 shoot if clean; 40 fires confidently";15–35;40;Rule: Off-Screen Mid = Shot Mid.
8;Shot Three;Overall willingness to take 3PT jumpers.;"0 never; 10 emergency; 20 very low; 30 low; 40 normal; 50 high; 60 specialist";35–55 (guards/wings);60;"Keep caps modest to avoid 3PT spam; accuracy handled elsewhere."
9;Spot-Up Three;Catch-and-shoot 3PT willingness when feet are set.;"0 never; 10 avoids; 20 reluctant; 30 willing; 40 confident; 50 fires; 60 quick-trigger";30–55;60;Should generally be = Shot Three for true spot-up specialists.
10;Off-Screen Three;Willingness to shoot immediately after coming off a screen into a 3.;"0 never; 10 curl & pass; 20 read first; 30 shoot if clean; 40 fires; 55 elite mover";20–45;55;"Controls screen-read speed; too high creates instant-fire spam."
11;Contested Jumper Mid;Willingness to take mid-range jumpers with a defender close/contesting.;"0 never; 10 avoid; 20 rare bailout; 30 occasional; 40 tough-shot taker; 45 elite tough-shot";20–35;45;"Gameplay-impactful; keep low for most players."
12;Contested Jumper Three;Willingness to take contested 3PT jumpers.;"0 never; 10 avoid; 20 rare bailout; 30 occasional; 35 tough-shot specialist; 40 elite";15–30;40;Too high breaks shot quality and sim efficiency.
13;Step-Back Jumper Mid;Use of step-back move into a mid-range jumper.;"0 never; 10 rare; 20 occasional; 30 part of game; 40 specialist cap";10–25;40;LOCKED: Step-Back Mid cap = 40.
14;Step-Back Jumper Three;Use of step-back move into a 3PT jumper.;"0 never; 10 rare; 20 occasional; 30 part of game; 35 specialist cap";5–20;35;LOCKED: Step-Back 3 cap = 35 (and generally = Step-Back Mid).
15;Spin Jumper;Use of spin move into a jumper (usually mid-range).;"0 never; 10 rare; 20 occasional; 30 part of game; 45 specialist";5–20;45;Keep low outside of true spin-jumper users.
16;Transition Pull-Up Three;Pull-up 3PT taken in transition (early offense).;"0 never; 10 rare; 20 occasional; 30 willing; 40 confident; 45 specialist";10–25;45;High values create fast-break chucking.
17;Dribble Pull-Up Mid;Pull-up mid-range jumper off dribble in halfcourt.;"0 never; 10 rare; 20 occasional; 30 part of game; 40 featured; 50 elite";20–35;50;"Primary creators can be higher; avoid for non-creators."
18;Dribble Pull-Up Three;Pull-up 3PT off dribble in halfcourt.;"0 never; 10 rare; 20 occasional; 30 part of game; 40 specialist cap";10–25;40;Keep low to prevent spam and sim efficiency distortion.
19;Drive;Overall willingness to attack off the dribble to the rim (downhill).;"0 never; 10 rare; 20 low; 30 occasional; 40 normal; 50 frequent; 60 elite driver cap";30–50;60;LOCKED preference: Drive = downhill attacking (not setup dribbles).
20;Spot-Up Drive;Willingness to attack a closeout off a catch (one or two dribbles).;"0 never; 10 rare; 20 low; 30 occasional; 40 normal; 50 frequent; 55 cap";20–45;55;Higher values help read closeouts instead of instant shots.
21;Off-Screen Drive;Willingness to curl/attack after receiving ball off an off-ball screen.;"0 never; 10 rare; 20 read first; 30 occasional; 40 frequent; 50 cap";15–35;50;Balances against Off-Screen 3 for smarter reads.
22;Use Glass;Preference to finish layups off the backboard when applicable.;"0 never; 10 rare; 20 occasional; 30 normal; 40 frequent; 55 specialist";15–35;55;Higher for angle/english finishers.
23;Step Through Shot;Use of step-through footwork to finish around defenders.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 specialist";5–20;45;Mostly bigs and crafty finishers.
24;Spin Layup;Use of spin layup gather/finish.;"0 never; 10 rare; 20 occasional; 30 part of game; 55 specialist";5–20;55;Keep low unless real-life spin finisher.
25;Eurostep Layup;Use of eurostep to avoid contact at rim.;"0 never; 10 rare; 20 occasional; 30 part of game; 55 specialist";5–20;55;Guards/wings who actually euro frequently.
26;Hop Step Layup;Use of hop step gather at rim.;"0 never; 10 rare; 20 occasional; 30 part of game; 55 specialist";5–15;55;High values can create hop-step spam.
27;Floater;Use of floater/push shot in lane (runner).;"0 never; 10 rare; 20 occasional; 30 part of game; 55 specialist";5–20;55;"Craft guards; keep low for non-floater users."
28;Stand & Dunk;Willingness to dunk off two feet/standing near rim (often from dump-offs).;"0 never; 10 rare; 20 occasional; 30 normal; 40 frequent; 60 power finisher";Bigs 30–55;60;"Relates to role, athleticism, and hands."
29;Drive & Dunk;Willingness to dunk while driving to the rim.;"0 never; 10 rare; 20 occasional; 30 normal; 40 frequent; 60 elite";Slashers 35–55;60;Keep aligned with Driving Layup tendencies elsewhere.
30;Flashy Dunk;Use of flashy dunk animations when dunking.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 showtime; 55 cap";10–30;55;LOCKED: Flashy Dunk cap = 55.
31;Alley-Oop;Ability/willingness to finish alley-oops with dunks (when available).;"0 never; 10 rare; 20 occasional; 30 normal; 45 frequent; 55 cap";Bigs/athletes 25–50;55;LOCKED: Alley-Oop Finish cap = 55.
32;Putback;Willingness to attempt putback finishes after offensive rebounds.;"0 never; 10 rare; 20 occasional; 30 normal; 45 frequent; 55 cap";Bigs 20–45;55;LOCKED: Putback cap = 55.
33;Crash;"Crash = tendency to fall to the floor after heavy contact/collisions (most noticeable on drives/finishes and some rebound traffic). Higher = more fall-down/collision reactions; lower = stays on feet more.";0–10: Almost never goes down. 15–25: Rare falls. 30–40: Occasional falls in heavy traffic. 45–55: Frequent falls on contact (can look chaotic). 60+: Constant wipeouts (spam/ugly).;"NBA-style gameplay norm: ~15–35 most players; physical bigs/wings up to ~40.";55;"NOT offensive rebounding effort. If you see players flying/falling everywhere when high, that’s Crash doing its thing. Keep low-to-mid for realism; only bump for players who genuinely hit the deck a lot."
34;Drive Right;Bias to drive to the player’s right side (handedness/comfort).;"0 never right; 25 prefers left; 50 balanced; 75 prefers right; 100 always right";45–60;80;"Adjust for handedness; lefties often lower than right-handed peers."
35;Triple Threat Pump Fake;Use of pump fakes from triple-threat stance.;"0 never; 10 rare; 20 occasional; 30 normal; 45 frequent; 60 cap";15–35;60;Higher for crafty wings/shot fakers.
36;Triple Threat Jab Step;Use of jab steps from triple-threat stance.;"0 never; 10 rare; 20 occasional; 30 normal; 45 frequent; 60 cap";15–35;60;Higher for face-up scorers.
37;Triple Threat Idle;How long player holds/pauses in triple-threat before acting (probe vs instant).;"0 instant decision; 10 very quick; 20 quick; 30 normal; 40 slow cap";10–25;40;"Too high can stall offense; too low can cause instant shots."
38;Triple Threat Shoot;Willingness to shoot directly out of triple-threat without dribbling.;"0 never; 10 rare; 20 occasional; 30 willing; 40 confident; 55 cap";15–35;55;Balance with TT Idle for better reads.
39;Set Up with Size Up;Use of size-up dribbles to set up an attack.;"0 never; 10 rare; 20 low; 30 normal; 40 frequent; 55 creator cap";15–35;55;"Primary creators higher; bigs low."
40;Set Up with Hesitation;Use of hesitation setup dribble to trigger attack.;"0 never; 10 rare; 20 low; 30 normal; 40 frequent; 55 creator cap";15–35;55;"Often similar to Size Up; keep realistic."
41;No Set Up Dribble;Amount of idle/probing dribbles before an attack begins (NOT creativity). Higher = more probing.;"5–10 zero-dribble; 15 non-creators; 20 low-usage guards; 25 hub bigs; 30 primary creators; 35 methodical creators cap";15–30;35;LOCKED SCALE + ABSOLUTE CAP 35.
42;Drive and Crossover;Use of crossover move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
43;Drive and Double Crossover;Use of double crossover move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
44;Drive and Spin;Use of spin move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
45;Drive and Half Spin;Use of half spin move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
46;Drive and Step Back;Use of step back move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
47;Drive and Behind the Back;Use of behind the back move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
48;Drive and Dribble Hesitation;Use of dribble hesitation move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
49;Drive and In and Out;Use of in and out move while driving.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 creator; 55 specialist cap";10–30 (most);55;"Keep low for non-creators; half-spin typically for creators."
50;No Drive & Dribble Move;Reluctance to use ANY dribble moves while driving. Higher = more straight-line drives.;"0 always uses moves; 20 uses moves often; 40 mixed; 60 mostly straight; 80 almost never";30–60;85;"Rim runners/bigs higher; creative guards lower."
51;Attack Strong on Drive;Permission/animation bias to finish through contact vs finesse at rim (NOT foul frequency).;"0 finesse only; 20 light contact; 30 normal; 45 strong; 55 power finisher; 60 cap";20–30 (most);60;"LOCKED: Safe bands 20–30 most, 35–45 strong wings, 45–55 power bigs, cap 60."
52;Dish to Open Man;Likelihood to pass to an open teammate when driving/penetrating (kick-outs).;"0 never; 10 rare; 20 occasional; 30 normal; 40 willing; 55 cap";25–45;55;"Gameplay: too high causes mid-air kickouts; keep most =45 unless elite passer."
53;Flashy Pass;Likelihood to attempt flashy passes (riskier).;"0 never; 10 rare; 20 occasional; 30 normal; 45 showy; 55 cap";10–25;55;Keep modest to avoid turnover spam.
54;Alley-Oop Pass;Likelihood to throw alley-oop passes.;"0 never; 10 rare; 20 occasional; 30 normal; 45 frequent; 55 cap";10–25;55;"Higher for elite lob passers; still keep controlled."
55;Roll vs Pop;"Balance slider for screener: 0 = pure pop, 100 = pure roll.";"0 pop only; 25 mostly pop; 50 balanced; 75 mostly roll; 100 roll only";40–70;85;LOCKED: combined tendency (not separate). Avoid 0/100 unless extreme role.
56;Transition Spot Up vs Cut to Basket;"Balance in transition: 0 = always cut, 100 = always spot up.";"0 cut only; 25 mostly cut; 50 balanced; 75 mostly spot; 100 spot only";35–65;85;LOCKED: combined tendency (not separate).
57;Isolation vs Elite;How often player chooses isolation when guarded by that defender tier.;"0 never; 5 almost never; 10 rare; 20 occasional; 35 willing; 55 cap";0–25 (most players);55;"Most non-creators should be 0–10, especially vs Elite."
58;Isolation vs Good;How often player chooses isolation when guarded by that defender tier.;"0 never; 5 almost never; 10 rare; 20 occasional; 35 willing; 55 cap";0–25 (most players);55;"Most non-creators should be 0–10, especially vs Elite."
59;Isolation vs Average;How often player chooses isolation when guarded by that defender tier.;"0 never; 5 almost never; 10 rare; 20 occasional; 35 willing; 55 cap";0–25 (most players);55;"Most non-creators should be 0–10, especially vs Elite."
60;Isolation vs Poor;How often player chooses isolation when guarded by that defender tier.;"0 never; 5 almost never; 10 rare; 20 occasional; 35 willing; 55 cap";0–25 (most players);55;"Most non-creators should be 0–10, especially vs Elite."
61;Play Discipline;Likelihood to follow plays/assignments vs freelancing (affects structure).;"0 chaos; 20 very loose; 35 loose; 50 normal; 65 disciplined; 75 cap";35–60;75;"Too low can cause random actions; too high can reduce improvisation."
62;Post Up;Post behavior: Post Up.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
63;Post Back Down;Post behavior: Post Back Down.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
64;Post Aggressive Back Down;Post behavior: Post Aggressive Back Down.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
65;Post Face Up;Preference to face up in post (triple-threat from post) vs back down.;"0 never; 10 rare; 20 occasional; 35 mixed; 45 regular; 55 cap";20–45;55;"Face-up scorers higher; traditional back-down bigs lower."
66;Post Spin;Post behavior: Post Spin.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
67;Post Drive;Post behavior: Post Drive.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
68;Post Drop Step;Post behavior: Post Drop Step.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
69;Shoot From Post;Post behavior: Shoot From Post.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
70;Post Hook Left;Post behavior: Post Hook Left.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule). Left hook: set 0 if player never uses hooks."
71;Post Hook Right;Post behavior: Post Hook Right.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule). Right hook: set 0 if player never uses hooks."
72;Post Fade Left;Post behavior: Post Fade Left.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
73;Post Fade Right;Post behavior: Post Fade Right.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
74;Post Shimmy Shot;Post behavior: Post Shimmy Shot.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
75;Post Hop Shot;Post behavior: Post Hop Shot.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
76;Post Step Back Shot;Post behavior: Post Step Back Shot.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
77;Post Up and Under;Post behavior: Post Up and Under.;"0 never; 10 rare; 20 occasional; 30 part of game; 45 frequent; 60 cap";"0–35 (most); 35–55 (post specialists)";60;"Apply real-life usage; Post Hooks often 0 for non-hook users (locked rule)."
78;Takes Charge;Willingness to attempt drawing charges.;"0 never; 10 rare; 20 occasional; 30 willing; 45 specialist; 60 cap";10–30;60;Gameplay: too high can create unrealistic charge hunting.
79;Foul;General foul tendency (frequency of committing fouls). Lower is safer.;"0 very disciplined; 20 disciplined; 35 normal; 45 physical; 60 reckless cap";25–45;60;Use with Hard Foul to control aggression without whistle spam.
80;Hard Foul;Likelihood of hard fouls (strong contact / wrap-ups).;"0 never; 10 rare; 20 occasional; 30 normal; 45 frequent; 55 cap";5–20;55;"Keep low for realism; mostly for enforcers/bigs."
81;Pass Interception;Aggressiveness jumping lanes / intercepting passes (off-ball).;"0 never; 10 rare; 20 occasional; 30 normal; 45 aggressive; 60 cap";20–45;60;Too high can create teleport steals if gameplay sliders also high.
82;On-Ball Steal;Aggressiveness reaching for steals on-ball.;"0 never; 10 rare; 20 occasional; 30 normal; 45 aggressive; 60 cap";20–45;60;"Balance with foul rates; high reach increases fouls/whiffs."
83;Blocked Shot;Aggressiveness attempting blocks at the rim.;"0 never; 10 rare; 20 occasional; 30 normal; 45 aggressive; 60 cap";20–45;60;Too high can create jumpy help and leave glass exposed.
84;Contest Shot;"Aggressiveness contesting shots (closeouts, hands up, challenges).";"0 never; 10 rare; 20 occasional; 30 normal; 45 strong; 60 cap";25–50;60;"Pairs with gameplay Help Defense + Contest sliders; avoid stacking extremes."
